delay_mins,weather,speed_kmh,precipitation_mm,live_mins,timestamp,road_id,status,normal_mins,name
6,"26.9°C, Clear",16.7,0.0,9,2026-08-08 07:28:07.083000+00:00,mandela_buguruni,Moderate,3,Mandela Rd (Port Link)
0,"27.7°C, Clear",45.7,0.0,23,2026-08-05 07:58:13.325000+00:00,posta_to_kimara,Smooth,23,Mega-Route: Posta to Kimara (Morogoro Rd)
9,"25.2°C, Clear",16.3,0.0,14,2026-08-03 06:25:29.683000+00:00,tabata_dampo,Heavy Jam,5,Tabata Road (Mandela to Segerea)
1,"27.7°C, Clear",30.0,0.0,3,2026-08-05 07:58:13.401000+00:00,kamata_gerezani,Smooth,2,Kamata / Gerezani (Port Entry)
1,"23.7°C, Clear",30.0,0.0,3,2026-08-05 18:21:01.199000+00:00,kigogo_roundabout,Smooth,2,Kawawa Rd (Kigogo Choke)
11,"25.2°C, Clear",14.2,0.0,16,2026-08-03 06:16:11.509000+00:00,tabata_dampo,Heavy Jam,5,Tabata Road (Mandela to Segerea)
4,"26.0°C, Cloudy",24.0,0.1,8,2026-08-08 10:01:39.723000+00:00,uhuru_street,Moderate,4,Uhuru Street (Ilala)
2,"29.4°C, Clear",22.5,0.0,4,2026-08-04 10:42:41.332000+00:00,kamata_gerezani,Smooth,2,Kamata / Gerezani (Port Entry)
1,"24.7°C, Cloudy",30.0,0.1,3,2026-08-08 10:01:38.617000+00:00,old_bagamoyo,Smooth,2,Old Bagamoyo Rd (Victoria)
0,"22.5°C, Clear",45.7,0.0,23,2026-08-05 22:41:14.506000+00:00,posta_to_kimara,Smooth,23,Mega-Route: Posta to Kimara (Morogoro Rd)
5,"23.1°C, Rainy",14.6,0.7,7,2026-08-08 09:08:49.959000+00:00,tazara,Moderate,2,Nyerere Rd (Tazara)
7,"22.5°C, Clear",17.5,0.0,11,2026-08-05 05:14:31.038000+00:00,uhuru_street,Moderate,4,Uhuru Street (Ilala-Town)
2,"28.3°C, Clear",30.0,0.0,7,2026-08-08 10:58:51.102000+00:00,kilwa_mbagala,Smooth,5,Kilwa Rd (Mbagala)
1,"23.0°C, Clear",44.0,0.0,30,2026-08-03 18:50:32.951000+00:00,posta_to_tegeta,Smooth,29,Mega-Route: Posta to Tegeta (Bagamoyo Rd)
3,"24.4°C, Clear",18.0,0.0,5,2026-08-07 16:43:45.279000+00:00,kamata_gerezani,Smooth,2,Kamata / Gerezani (Port Entry)
2,"24.7°C, Clear",27.0,0.0,4,2026-08-09 06:08:48.439000+00:00,ubungo,Smooth,2,Morogoro Rd (Ubungo)
0,"29.1°C, Clear",45.0,0.0,24,2026-08-09 11:00:38.195000+00:00,posta_to_gongolamboto,Smooth,24,Mega-Route: Posta to Gongo la Mboto (Nyerere Rd)
2,"21.4°C, Clear",22.5,0.0,4,2026-08-07 04:25:09.897000+00:00,kigogo_roundabout,Smooth,2,Kawawa Rd (Kigogo Choke)
9,"28.6°C, Cloudy",12.5,0.1,12,2026-08-05 09:04:48.959000+00:00,mandela_buguruni,Heavy Jam,3,Mandela Rd (Port Link)
2,"22.6°C, Clear",32.0,0.0,6,2026-08-05 21:36:59.146000+00:00,uhuru_street,Smooth,4,Uhuru Street (Ilala)
2,"27.9°C, Clear",22.5,0.0,4,2026-08-08 11:55:15.915000+00:00,mwenge,Smooth,2,Bagamoyo Rd (Mwenge)
5,"28.6°C, Clear",22.8,0.0,10,2026-08-09 11:53:56.933000+00:00,tabata_dampo,Moderate,5,Tabata Road (Mandela to Segerea)
1,"27.7°C, Cloudy",30.0,0.1,4,2026-08-09 10:03:24.958000+00:00,sinza_mori,Smooth,3,Sinza Road (Mori to Bamaga)
2,"29.4°C, Clear",22.5,0.0,4,2026-08-05 10:42:56.316000+00:00,kamata_gerezani,Smooth,2,Kamata / Gerezani (Port Entry)
2,"23.0°C, Clear",25.5,0.0,4,2026-08-05 20:12:50.772000+00:00,tazara,Smooth,2,Nyerere Rd (Tazara)
2,"22.9°C, Clear",22.5,0.0,4,2026-08-08 19:07:23.385000+00:00,mwenge,Smooth,2,Bagamoyo Rd (Mwenge)
2,"21.6°C, Clear",22.0,0.0,3,2026-08-04 21:55:22.419000+00:00,kariakoo,Smooth,1,Kariakoo Market Grid
3,"28.5°C, Clear",20.0,0.0,6,2026-08-07 09:40:09.210000+00:00,morocco_intersection,Smooth,3,Kawawa Rd (Morocco to Kinondoni)
2,"25.8°C, Clear",22.5,0.0,4,2026-08-08 14:56:41.608000+00:00,mwenge,Smooth,2,Bagamoyo Rd (Mwenge)
3,"28.0°C, Rainy",16.8,0.1,5,2026-08-05 08:38:46.617000+00:00,selander,Smooth,2,Ali Hassan Mwinyi
0,"23.4°C, Clear",45.0,0.0,24,2026-08-07 19:45:48.459000+00:00,posta_to_gongolamboto,Smooth,24,Mega-Route: Posta to Gongo la Mboto (Nyerere Rd)
1,"23.3°C, Clear",30.0,0.0,3,2026-08-08 18:24:52.869000+00:00,kigogo_roundabout,Smooth,2,Kawawa Rd (Kigogo Choke)
11,"22.6°C, Clear",30.9,0.0,34,2026-08-04 05:14:44.489000+00:00,posta_to_kimara,Heavy Jam,23,Mega-Route: Posta to Kimara (Morogoro Rd)
2,"24.0°C, Clear",30.0,0.0,5,2026-08-07 17:41:57.136000+00:00,changombe_road,Smooth,3,Chang'ombe Road (Temeke)
1,"26.7°C, Clear",30.0,0.0,3,2026-08-09 14:26:13.548000+00:00,kigogo_roundabout,Smooth,2,Kawawa Rd (Kigogo Choke)
4,"28.7°C, Clear",23.3,0.0,9,2026-08-07 09:40:07.663000+00:00,kilwa_mbagala,Moderate,5,Kilwa Rd (Mbagala)
2,"27.3°C, Clear",22.5,0.0,4,2026-08-06 07:19:00.323000+00:00,mwenge,Smooth,2,Bagamoyo Rd (Mwenge)
2,"27.8°C, Cloudy",30.0,0.1,5,2026-08-07 08:38:19.981000+00:00,changombe_road,Smooth,3,Chang'ombe Road (Temeke)
2,"27.6°C, Cloudy",30.0,0.1,5,2026-08-08 12:30:31.960000+00:00,changombe_road,Smooth,3,Chang'ombe Road (Temeke)
5,"26.8°C, Clear",12.0,0.0,7,2026-08-07 14:21:49.455000+00:00,selander,Moderate,2,Ali Hassan Mwinyi
44,"27.5°C, Cloudy",15.7,0.1,67,2026-08-07 13:46:53.300000+00:00,posta_to_kimara,Heavy Jam,23,Mega-Route: Posta to Kimara (Morogoro Rd)
1,"21.6°C, Clear",30.0,0.0,3,2026-08-07 00:40:19.448000+00:00,old_bagamoyo,Smooth,2,Old Bagamoyo Rd (Victoria)
2,"27.1°C, Clear",24.0,0.0,5,2026-08-03 07:51:25.189000+00:00,morocco_intersection,Smooth,3,Kawawa Rd (Morocco to Kinondoni)
2,"23.6°C, Clear",22.5,0.0,4,2026-08-06 05:16:22.732000+00:00,old_bagamoyo,Smooth,2,Old Bagamoyo Rd (Victoria)
0,"25.3°C, Clear",45.5,0.0,29,2026-08-08 06:03:53.548000+00:00,posta_to_tegeta,Smooth,29,Mega-Route: Posta to Tegeta (Bagamoyo Rd)
0,"26.6°C, Cloudy",42.0,0.1,6,2026-08-08 07:28:07.400000+00:00,sam_nujoma,Smooth,6,Sam Nujoma Rd (Mwenge-Ubungo)
4,"28.0°C, Clear",24.0,0.0,8,2026-08-09 08:09:45.084000+00:00,uhuru_street,Moderate,4,Uhuru Street (Ilala)
47,"26.5°C, Clear",15.0,0.0,70,2026-08-05 15:12:31.428000+00:00,posta_to_kimara,Heavy Jam,23,Mega-Route: Posta to Kimara (Morogoro Rd)
5,"24.5°C, Clear",24.0,0.0,10,2026-08-08 15:54:44.529000+00:00,goba_massana,Moderate,5,Goba Road (Massana to Goba Center)
0,"23.7°C, Clear",45.7,0.0,23,2026-08-07 18:42:42.995000+00:00,posta_to_kimara,Smooth,23,Mega-Route: Posta to Kimara (Morogoro Rd)
0,"25.3°C, Clear",42.0,0.0,5,2026-08-09 15:15:27.062000+00:00,mwai_kibaki,Smooth,5,Mwai Kibaki Rd (Kawe to Mikocheni)
3,"25.4°C, Clear",20.4,0.0,5,2026-08-09 15:15:25.105000+00:00,tazara,Smooth,2,Nyerere Rd (Tazara)
1,"27.1°C, Clear",30.0,0.0,3,2026-08-07 07:58:57.653000+00:00,kigogo_roundabout,Smooth,2,Kawawa Rd (Kigogo Choke)
0,"25.8°C, Clear",45.0,0.0,24,2026-08-09 15:00:21.115000+00:00,posta_to_gongolamboto,Smooth,24,Mega-Route: Posta to Gongo la Mboto (Nyerere Rd)
3,"23.1°C, Clear",20.4,0.0,5,2026-08-09 05:29:06.014000+00:00,tazara,Smooth,2,Nyerere Rd (Tazara)
2,"29.3°C, Cloudy",41.5,0.1,26,2026-08-07 11:14:31.539000+00:00,posta_to_gongolamboto,Smooth,24,Mega-Route: Posta to Gongo la Mboto (Nyerere Rd)
6,"24.6°C, Clear",36.0,0.0,30,2026-08-07 05:59:54.598000+00:00,posta_to_gongolamboto,Moderate,24,Mega-Route: Posta to Gongo la Mboto (Nyerere Rd)
6,"25.4°C, Clear",16.7,0.0,9,2026-08-09 15:15:24.798000+00:00,mandela_buguruni,Moderate,3,Mandela Rd (Port Link)
5,"28.3°C, Rainy",14.6,0.1,7,2026-08-05 08:38:46.611000+00:00,tazara,Moderate,2,Nyerere Rd (Tazara)
9,"23.6°C, Clear",14.8,0.0,13,2026-08-03 16:43:10.983000+00:00,uhuru_street,Heavy Jam,4,Uhuru Street (Ilala-Town)
0,"27.0°C, Cloudy",42.0,0.1,6,2026-08-08 08:06:35.133000+00:00,sam_nujoma,Smooth,6,Sam Nujoma Rd (Mwenge-Ubungo)
2,"27.7°C, Cloudy",24.0,0.1,5,2026-08-09 10:03:24.671000+00:00,morocco_intersection,Smooth,3,Kawawa Rd (Morocco to Kinondoni)
2,"29.1°C, Clear",24.0,0.0,5,2026-08-05 12:51:15.465000+00:00,morocco_intersection,Smooth,3,Kawawa Rd (Morocco to Kinondoni)
4,"24.5°C, Clear",25.2,0.0,10,2026-08-07 16:43:44.158000+00:00,sam_nujoma,Moderate,6,Sam Nujoma Rd (Mwenge-Ubungo)
6,"23.1°C, Rainy",9.0,0.7,8,2026-08-08 09:08:51.103000+00:00,fire_upanga,Moderate,2,UN Road (Fire to Upanga)
1,"27.0°C, Clear",30.0,0.0,3,2026-08-08 08:06:36.077000+00:00,kamata_gerezani,Smooth,2,Kamata / Gerezani (Port Entry)
1,"26.4°C, Clear",30.0,0.0,4,2026-08-08 14:24:25.792000+00:00,sinza_mori,Smooth,3,Sinza Road (Mori to Bamaga)
61,"25.1°C, Clear",14.7,0.0,90,2026-08-07 15:46:50.601000+00:00,posta_to_tegeta,Heavy Jam,29,Mega-Route: Posta to Tegeta (Bagamoyo Rd)
13,"22.3°C, Clear",11.7,0.0,18,2026-08-05 05:14:30.589000+00:00,kilwa_mbagala,Heavy Jam,5,Kilwa Rd (Mbagala)
4,"26.9°C, Clear",26.7,0.0,9,2026-08-03 07:51:25.789000+00:00,goba_massana,Moderate,5,Goba Road (Massana to Goba Center)
2,"20.8°C, Clear",30.0,0.0,5,2026-08-09 04:12:13.972000+00:00,changombe_road,Smooth,3,Chang'ombe Road (Temeke)
1,"28.4°C, Clear",30.0,0.0,3,2026-08-09 12:33:30.987000+00:00,kamata_gerezani,Smooth,2,Kamata / Gerezani (Port Entry)
2,"25.7°C, Clear",30.0,0.0,7,2026-08-08 14:56:40.870000+00:00,kilwa_mbagala,Smooth,5,Kilwa Rd (Mbagala)
0,"26.7°C, Clear",42.0,0.0,5,2026-08-09 14:26:13.828000+00:00,mwai_kibaki,Smooth,5,Mwai Kibaki Rd (Kawe to Mikocheni)
9,"28.5°C, Clear",6.5,0.0,11,2026-08-04 13:01:51.769000+00:00,fire_upanga,Heavy Jam,2,UN Road (Fire to Upanga)
3,"26.3°C, Clear",26.2,0.0,8,2026-08-04 15:06:57.863000+00:00,mwai_kibaki,Smooth,5,Mwai Kibaki Rd (Kawe to Mikocheni)
4,"21.6°C, Clear",12.0,0.0,6,2026-08-08 04:07:02.081000+00:00,fire_upanga,Moderate,2,UN Road (Fire to Upanga)
6,"21.3°C, Clear",16.7,0.0,9,2026-08-03 04:15:45.948000+00:00,mandela_buguruni,Moderate,3,Mandela Rd (Port Link)
3,"27.6°C, Cloudy",20.4,0.1,5,2026-08-08 12:30:30.324000+00:00,tazara,Smooth,2,Nyerere Rd (Tazara)
3,"27.4°C, Cloudy",18.0,0.1,5,2026-08-07 13:46:52.324000+00:00,old_bagamoyo,Smooth,2,Old Bagamoyo Rd (Victoria)
9,"24.6°C, Clear",7.6,0.0,11,2026-08-07 05:59:52.884000+00:00,selander,Heavy Jam,2,Ali Hassan Mwinyi
0,"22.0°C, Clear",42.0,0.0,6,2026-08-04 20:38:55.637000+00:00,sam_nujoma,Smooth,6,Sam Nujoma Rd (Mwenge-Ubungo)
1,"27.1°C, Clear",30.0,0.0,4,2026-08-07 07:58:57.785000+00:00,sinza_mori,Smooth,3,Sinza Road (Mori to Bamaga)
5,"22.8°C, Clear",22.8,0.0,10,2026-08-08 19:51:30.365000+00:00,tabata_dampo,Moderate,5,Tabata Road (Mandela to Segerea)
5,"29.4°C, Clear",14.6,0.0,7,2026-08-04 10:42:40.144000+00:00,tazara,Moderate,2,Nyerere Rd (Tazara)
2,"27.3°C, Clear",22.0,0.0,3,2026-08-04 07:57:08.581000+00:00,kariakoo,Smooth,1,Kariakoo Market Grid
5,"23.1°C, Clear",24.0,0.0,10,2026-08-08 05:13:55.967000+00:00,goba_massana,Moderate,5,Goba Road (Massana to Goba Center)
0,"27.1°C, Cloudy",42.0,0.1,6,2026-08-08 12:30:31.068000+00:00,sam_nujoma,Smooth,6,Sam Nujoma Rd (Mwenge-Ubungo)
0,"22.7°C, Clear",40.0,0.0,3,2026-08-05 22:41:14.945000+00:00,sinza_mori,Smooth,3,Sinza Road (Mori to Bamaga)
5,"23.7°C, Clear",15.0,0.0,8,2026-08-03 16:43:11.666000+00:00,morocco_intersection,Moderate,3,Kawawa Rd (Morocco to Kinondoni)
7,"22.6°C, Clear",34.8,0.0,31,2026-08-04 05:14:44.484000+00:00,posta_to_gongolamboto,Moderate,24,Mega-Route: Posta to Gongo la Mboto (Nyerere Rd)
